Name,Institution,Department,Discipline,Research Specializations,Unnamed: 5,Unnamed: 6,City,Country,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Location,Category,Region,Latitude,Longitude
Joule Bergerson,University of Notre Dame,ND Energy,Engineering,Energy Technology Assessment,Life Cycle Assessment,Greenhouse Gas Emissions,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Joyeeta Gupta,University of Amsterdam,"Department of Human Geography, Planning and International Development Studies (Governance and Inclusive Development)",Development Studies,Climate Justice,Earth-System Boundaries,Governance,Amsterdam,Netherlands,,,,,,,,Amsterdam,Alliance Member,Europe,52.3730796,4.8924534
Kim Sang-hyun,Sogang University,Institute for Whole Person Education,Sociology,Politics of Development,Environmental Activism,Technology,Seoul,South Korea,,,,,,,,Seoul,Alliance Member,Asia,37.5666791,126.9782914
Krister Andersson,University of Notre Dame,Keough School of Global Affairs (Pulte Institute for Global Development),Development Studies,Public Policy,Environmental Governance,Collective Action,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Lorna Gold,Laudato Si' Movement,,"Development Studies
Geography",Fossil Fuel Divestment,Faith-Based Climate Activism,Climate Education,County Kildare,Ireland,,,,,,,,County Kildare,Alliance Member,Europe,53.1544581,-6.8183615
Lucia Ann Silecchia,The Catholic University of America,Columbus School of Law,Law,Environmental Ethics,Catholic Social Teaching,Environmental Law,"Washington, D.C.",United States,,,,,,,,"Washington, D.C.",Alliance Member,North America,38.8950982,-77.0363849
Maria Assunta C. Cuyegkeng,Ateneo de Manlla University,Department of Educational Leadership and Management,Education,Systems Thinking,Social Entrepreneurship,Leadership,Quezon City,Philippines,,,,,,,,Quezon City,Alliance Member,Asia,14.6510546,121.0486254
Maria Monica Daza Ondarza Salamanca,Universidad Católica Boliviana San Pablo,,"Law
Education",Comparative Educational Legislation,Academic Accreditation,Curricular Innovation,Cochabamba,Bolivia,,,,,,,,Cochabamba,Alliance Member,Latin America and the Caribbean,-17.4012458,-66.1675681
Maritza Paredes Gonzales,Pontificia Universidad Catolica del Peru,"Department of Social Sciences, Sociology Section",Sociology,Climate Change,Indigenous Communities,Environmental Sociology,Lima,Peru,,,,,,,,Lima,Alliance Member,Latin America and the Caribbean,-12.0459808,-77.0305912
Mary Gallagher,University of Notre Dame,Keough School of Global Affairs,Political Science & Policy,Chinese Politics,Human Rights,Democracy,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Ming Hu,University of Notre Dame,School of Architecture and College of Engineering,Architecture & Built Environment,Sustainable Design,Energy,Health and Well-Being,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Nancy Grimm,Arizona State University,School of Life Sciences,Biology & Ecology,Resilience,Climate Change,Urban Ecology,Tempe,United States,,,,,,,,Tempe,Alliance Member,North America,33.4255117,-111.940016
Neidy Lorena Clavijo Ponce,Pontifical Javeriana University,Department of Rural and Regional Development,"Agriculture & Food Systems
Development Studies",Agroecology,Agrobiodiversity,Rural Development,Bogota,Colombia,,,,,,,,Bogota,Alliance Member,Latin America and the Caribbean,4.6533817,-74.0836331
Paolo Galizzi,Fordham University,"Leitner Center for International Law and Justice, School of Law",Law,Human Rights,International Law,Environmental Law,New York City,United States,,,,,,,,New York City,Alliance Member,North America,40.7127281,-74.0060152
Paolo Luzzi,University of Florence,"Botanical Garden 'Giardino dei Semplici', Museum of Natural History","Biology & Ecology
Theology & Religious Studies",Medicinal Plants,Botanical History,Plant Symbolism,Florence,Italy,,,,,,,,Florence,Alliance Member,Europe,43.7697955,11.2556404
Paulina Núñez,Universidad Francisco de Vitoria,Department of Humanities,"Environmental & Sustainability Studies
Philosophy & Ethics",Human Rights,Bioethics,Integral Ecology,Madrid,Spain,,,,,,,,Madrid,Alliance Member,Europe,40.416782,-3.703507
Peter P. Marra,Georgetown University,Earth Commons Institute for the Environment and Sustainability,Biology & Ecology,Avian Ecology,Migratory Birds,Ornithology,"Washington, D.C.",United States,,,,,,,,"Washington, D.C.",Alliance Member,North America,38.8950982,-77.0363849
Philip J. Landrigan,Boston College,"Program for Global Public Health and the Common Good, Biology Department (Schiller Institute)",Public Health,Children's Environmental Health,Global Public Health,Environment and Health,Chestnut Hill,United States,,,,,,,,Chestnut Hill,Alliance Member,North America,42.3234553,-71.1639439
